Dialect,website (youtube/something else),source link,number of speakers,duration
Najdi,Youtube,https://youtu.be/VAhNQX-r_J4?si=F0EdShq031T8h0rc,5,01:10:05
Najdi,Youtube,https://youtu.be/v_G9bcxp5OM?si=M-aOlCSUHsXBhtwe,8,00:24:59
Najdi,Youtube,https://youtu.be/SQG2baKrYwM?si=ASYypsORYTDb8S67,1,01:01:05
Najdi,Youtube,https://youtu.be/eTNnEeSBHuU?si=2SIaDU7aJ7Xtt85H,2,00:17:11
Najdi,Youtube,https://youtu.be/Vbk5zG285BQ?si=O11DnUQIJKk2n7nD,6,00:17:52
Najdi,Youtube,https://youtu.be/14Z-g-_fVGM?si=IlFBa2vy77em1_UR,2,00:18:19
Najdi,Youtube,https://youtu.be/xXKlzBUsIWo?si=FT4IF9bqxGaqiLy9,1,00:22:53
Najdi,Youtube,https://youtu.be/HegJSPda4S0?si=LtMNUjB248TjZfHx,5,00:43:09
Najdi,Youtube,https://youtu.be/C9B3KhnnsvA?si=MnPQ5ezLRgMnHf6f,2,00:15:51
Najdi,Youtube,https://youtu.be/_PatoDrJ1V8?si=Mj0NIiovommWlCa1,2,01:55:28
Najdi,Youtube,https://youtu.be/bkP3z3DXhKw?si=5KmxLH0SeBTkDWvB,2,01:35:43
Najdi,Youtube,https://youtu.be/httrp7K88mk?si=izLdqDV7JOQi6Tb9,2,02:05:24
Najdi,Youtube,https://youtu.be/2CSL0mTFA9E?si=v7jsmkdiweshYlYU,2,02:11:12
Najdi,Youtube,https://youtu.be/Un38hjD6VaU?si=NBG4NhWZTKzwmnYn,2,02:01:48
Najdi,Youtube,https://youtu.be/RC93PFezbFM?si=GnAAXub6QrVofII0,2,02:10:54
Najdi,Youtube,https://youtu.be/UW45r9BGmbA?si=RQrCgGToTBOr0zVJ,2,01:59:43
Najdi,Youtube,https://youtu.be/RiRBAPwT3Jc?si=e-tGw2Iq1tYNj5b6,2,01:44:36
Najdi,youtube,https://youtu.be/MXiDzEc2Mb4?si=0yLwVk_kEezXb1HN,2,01:13:36
Najdi,youtube,https://youtu.be/fAZLCcWF-_o?si=-b-TxbVloJQVA5ty,2,01:40:29
Najdi,youtube,https://youtu.be/t6cH9ESxJcw?si=Qa7hjppCuT_frlXi,4,00:47:35
Najdi,youtube,https://youtu.be/MICQ0JV7zn4?si=dlGiOHRB8JhzOb0j,2,01:06:51
Najdi,youtube,https://youtu.be/HZKdvcoyzwI?si=J3jJnnst83cb6vXP,2,01:28:55
Najdi,youtube,https://youtu.be/4LT66LgD4Ec?si=ot_a1a_0pV0N1yQ_,2,00:57:14
Najdi,youtube,https://youtu.be/qRqdL4OLmsU?si=bvXwdgHs-sra1L-t,2,02:27:47
Najdi,youtube,https://youtu.be/pBVyaoBwOAI?si=0rsJDhhImOmtxC66,2,02:20:19
Najdi,youtube,https://youtu.be/TVY3TEVwmko?si=DY9BMQ_qjHSXpCvG,2,01:23:28
Najdi,youtube,https://youtu.be/tI00iu6ZBkg?si=9dcydXciSP9wNRN_,2,01:11:22
Najdi,youtube,https://youtu.be/BHsJJHVZMss?si=1a9w8Syd-f1IsaGD,2,01:16:08
Najdi,youtube,https://youtu.be/Mc_H_h1VSkU?si=WD6F3uS7Ge-bBaKk,2,02:10:41
Najdi,youtube,https://youtu.be/HWS2dgLS9iw?si=NoC-IUeGoEGp7eOn,2,01:09:59
Najdi,youtube,https://youtu.be/8qDW2yrHHZc?si=OkZilgsOCuMpU9Ly,2,01:08:12
Najdi,youtube,https://youtu.be/YRvwFSk2sa4?si=uRAa-_y_3bSI0RjA,2,01:53:56
Najdi,youtube,https://youtu.be/VNo9nOmaghA?si=q0VsPLtoWqxwjQZF,2,01:39:46
Najdi,youtube,https://youtu.be/Jwfg4-tVAtw?si=FfFLaK8Mwby2mXpC,2,02:03:19
Najdi,youtube,https://youtu.be/JE9kzcM-1ss?si=eQeS66agomoKKQdp,2,01:16:36
Najdi,youtube,https://youtu.be/DA0oZJ8Ly-8?si=tzbJg0PzUrWMlvXM,2,02:05:54
Najdi,youtube,https://youtu.be/nucT5JQV6LU?si=yNhK9aY45Q-B7xiL,2,01:00:40
Najdi,youtube,https://youtu.be/1WT-2JE2xMM?si=TQReTtKzLTMTbcJO,2,01:11:20
Najdi,youtube,https://youtu.be/8SCQnB4A0xU?si=m-b2LbR_De-3xDSV,2,01:50:35
Najdi,youtube,https://youtu.be/YI5PVi26Ixg?si=bqOkM-agEDlfXDar,2,01:19:41
Najdi,youtube,https://youtu.be/t7IrlGQ3aPM?si=XjArj_sZVsCW_3u9,2,02:21:58
Najdi,youtube,https://youtu.be/fyD9KSfiIbY?si=S030-va7yegIHJaP,2,00:59:43
Najdi,youtube,https://youtu.be/qq4s67dSoVE?si=mLUEfjVriGq-q-o7,2,01:45:36
Najdi,youtube,https://youtu.be/jQnk04SaviU?si=vYEtZcWOCPFxRCdE,2,01:11:54
Najdi,youtube,https://youtu.be/9LEY4pu-96A?si=KVTUfBhBa-bJTNY7,2,01:47:29
Najdi,youtube,https://youtu.be/RUCHx68JLks?si=PaA-eWdLOZ68HysT,2,01:33:02
Najdi,youtube,https://youtu.be/AP_p6dbYR9Y?si=wo2qcw97GT26_eje,2,01:37:48
Najdi,youtube,https://youtu.be/66HvyE_AzDU?si=UwulIp0moHpgRl0Q,2,01:49:35
Najdi,youtube,https://youtu.be/scr2tyjsUjE?si=UAb-derhQdleqYlP,2,01:07:23
Najdi,youtube,https://youtu.be/nW79Vs7CDww?si=Y7MelCqwR7S86-52,2,01:14:01
Najdi,youtube,https://youtu.be/85ZnCsQUtqc?si=-z7oto8Kn78Sb4TR,2,01:19:34
Najdi,youtube,https://youtu.be/C8A2f0RIIXo?si=wWtuAhhafBHqbs7L,2,02:10:51
Najdi,youtube,https://youtu.be/86W6oKNk7gI?si=LmNEcHJCXivmfaPD,2,01:00:32
Najdi,youtube,https://youtu.be/WMpjfZgkeiQ?si=8JGHdO1z1Z3oyaki,2,01:35:58
Najdi,youtube,https://youtu.be/kV6v9Td5ssM?si=z9ykI6F7Pg6Qqmln,2,01:31:24
Najdi,youtube,https://youtu.be/7kaJEcMiRow?si=T6TAPoLbQsLea0oc,2,01:03:46
Najdi,youtube,https://youtu.be/Q-mbSwwNQmk?si=pdryXgELIBpVdvp5,2,01:33:52
Najdi,youtube,https://youtu.be/pJ3z_vWxvUU?si=i-OBO74Jd6n-8bl1,2,01:24:51
Najdi,youtube,https://youtu.be/Gog5sxF235k?si=HozqsBqXFhxx2JDz,2,01:23:41
Najdi,youtube,https://youtu.be/YHAdyR9pguE?si=-H8-TqVim0xLXxyJ,2,01:35:52
Najdi,youtube,https://youtu.be/f0kqwqOjkEc?si=mpUfqPcLVs24E1gG,2,01:35:26
Najdi,youtube,https://www.youtube.com/watch?v=mwnCB4fKgoc,2,01:35:34
Najdi,youtube,https://www.youtube.com/watch?v=Q8U7l3YLeSM,2,01:55:25
Najdi,youtube,https://youtu.be/stk8f2SAyNk?si=bk6doUf2rPEWJG6B,2,01:52:51
Najdi,youtube,https://youtu.be/61yGGOBcPF8?si=Tszb1exa397cyKte,2,01:57:42
Najdi,youtube,https://youtu.be/5GRMhsKyN8M?si=DpAsQkYVi_d5ZIy6,3,01:47:30
Najdi,youtube,https://youtu.be/XFTcez1REdU?si=9BTa4EtCWNGuJt0r,3,02:00:30
Najdi,youtube,https://youtu.be/mNDYNQ80gLY?si=q7pK9VFrWnwxorQU,2,01:42:41
Najdi,youtube,https://youtu.be/l627VqCmfIA?si=Wpou2aGl-EUjbJf6,2,01:51:54
Najdi,youtube,https://youtu.be/Zb2LmS1TkvI?si=rn0lUJY9BXKikxCf,2,01:49:56
Najdi,youtube,https://youtu.be/hVYE0diIBI4?si=SY0vvju6MKdgtUKI,2,01:13:06
Najdi,youtube,https://youtu.be/fM6meqsQpX4?si=0Ogwd7_GJwANgkpH,2,02:40:45
Najdi,youtube,https://youtu.be/0BFHcb0oyiM?si=vmpXuk7czPp8nYe4,3,01:59:31
Najdi,youtube,https://youtu.be/FfuAw0601cE?si=QtZcy4OHn2RXoHOu,3,01:02:21
Najdi,youtube,https://youtu.be/K8gZYfkJVfw?si=V9LTexg9ulDOURxv,2,01:35:05
Najdi,youtube,https://youtu.be/zlMQnRFLEMc?si=OcOa9QWDCdChbE_1,2,01:27:16
Najdi,youtube,https://www.youtube.com/watch?v=ZdAjA7x-I9E,2,01:57:52
Najdi,youtube,https://www.youtube.com/watch?v=YAl4PWSihTc,2,01:51:58
Najdi,youtube,https://youtu.be/3TVrqPXtq24?si=q44l997OU2yH5hq6,2,01:47:26
Najdi,youtube,https://youtu.be/pBHZPJC2oFY?si=-Q0VZOPrFIF6pHCT,2,01:26:42
Najdi,youtube,https://youtu.be/pRAi708jknA?si=N9ecswB_KJaUp8HT,2,02:43:58
Najdi,youtube,https://youtu.be/OMOuz4fmvL0?si=KISws20Qza05T1cQ,2,01:02:09
Najdi,youtube,https://youtu.be/pXYNSP0-ptc?si=TD2RCzxdiVpDg_PN,2,02:27:20
Najdi,youtube,https://youtu.be/mUM-pok8Fho?si=sPbsLghQY2Ok7GwA,2,01:59:58
Najdi,youtube,https://youtu.be/bDTNkk7SgL4?si=CFa6BkQFiT7t8JzC,2,01:40:23
Najdi,youtube,https://youtu.be/AItaIcVRTOU?si=o_rUHXcsRE3EBbWY,2,01:05:33
Najdi,youtube,https://youtu.be/CGTBrJD32qY?si=YmabrkLNRgRV8Nt-,2,01:02:55
Najdi,youtube,https://youtu.be/aLZolXH0S8Q?si=K7QZPyNRWDoeLtOH,2,02:43:57
Najdi,youtube,https://youtu.be/pwrOH3JY5wA?si=EDdjqmquV-MG8hSg,2,01:38:18
Najdi,youtube,https://youtu.be/M__-62agTFA?si=jPExcuzn9ohOcBAU,2,02:08:12
Najdi,youtube,https://youtu.be/FKFvnOGf6JI?si=TXOiXdaA4fzKWNtB,2,01:46:44
Najdi,youtube,https://youtu.be/j2wDws36xsU?si=TzPxrLdSAzRISkDS,2,01:26:31
Najdi,youtube,https://youtu.be/tXwKdXOoOuk?si=1u8C2awZg2vdTJFW,2,01:59:56
Najdi,youtube,https://youtu.be/hlJAyRqqKbQ?si=Lcaa_4MTszWwIgra,2,02:40:54
Najdi,youtube,https://youtu.be/6uXCCT1aKE0?si=D1su1eFSrozSUtyW,2,01:22:54
Najdi,youtube,https://youtu.be/eAEfRmTBrcI?si=-PHVYlE_K37jimzs,2,02:05:31
Najdi,youtube,https://youtu.be/bggBaQNGGVU?si=ev_KqIr6xhm-8FpZ,2,01:37:16
Najdi,youtube,https://youtu.be/McASh5Nz7uc?si=P98wcAIABQ-vQz4K,2,01:22:24
Najdi,youtube,https://youtu.be/xkydvuRvkMw?si=5UvWmhLSXN9aG9ol,2,02:04:36
Najdi,youtube,https://youtu.be/B7zOdRbWiNk?si=7OQ6g9DXY0x5l4hl,2,01:31:25
Najdi,youtube,https://youtu.be/o7T3uyP4V9Q?si=3pAMx_V3W5A6leic,2,02:07:10
Najdi,youtube,https://youtu.be/41MSvLxhEJM?si=ZLwr6OJ_W2PeGZ9i,2,01:12:09
Najdi,youtube,https://youtu.be/qgUAbhLu1hw?si=Lo7vgO8Q98LjpXVF,2,01:25:28
,,https://youtu.be/OKuA-iK438k?si=FMqh8GE6DQ4o-7We,2,01:47:35
,,https://youtu.be/aHp77eSMx00?si=196b4j2YYrCuYBU3,3,01:59:25
,,https://youtu.be/UA9IMPIyypw?si=RLH1VLsmNprZ6aLE,3,02:10:05
,,https://youtu.be/k22zz10KjhI?si=tonviFPPigGMi8Jb,2,01:51:46
,,https://youtu.be/px3IFWbJDso?si=SOcWoeid5qxD_TkX,2,01:51:13
,,https://youtu.be/d-R-yoIPePQ?si=6d5zzA2Ivn5GxtPL,2,01:37:35
