Dialect,Website (youtube/something else),Source link,Duration,number of speakers
,,,,
Najdi / Saudi,You Tube,https://youtu.be/jIRZBX8zmpU,                  00.19.04,1
Najdi / Saudi,You Tube,https://youtu.be/l8hifsYqXJI?si=PnDj-N93FT7TeXqB,                  03.32.30,1
Najdi / Saudi,You Tube,https://youtu.be/aGnq5c9p1AM?si=UWBctIgqwRSrvPrl,                  01.14.59,2
Najdi / Saudi,You Tube,https://youtu.be/ghEKip-eaws?si=jUOAdOIIIldea_jd,                  00.59.07,2
Najdi / Saudi,You Tube,https://youtu.be/4nIeQ__gwWY?si=G-2IsYS5_emiXNZV,                  00.23.52,1
Najdi / Saudi,You Tube,https://youtu.be/MXiDzEc2Mb4?si=vMH71ai3cKMBjkzR,                  01.13.36,2
Najdi / Saudi,You Tube,https://youtu.be/Un38hjD6VaU?si=2ObJjqFm4GoQymEh,                  02.01.48,2
Najdi / Saudi,You Tube,https://youtu.be/FBEGElzDpeg?si=azm36ctfo-aHJuzi,                  09.15.56,2
Najdi / Saudi,You Tube,https://youtu.be/8y9MsIgDm1Q?si=YCXTYYECELGi5qm3,                  01.16.57,2
Najdi / Saudi,You Tube,https://youtu.be/FHQhZWM82eo?si=3NKOltmSXbXilMOZ,                 00.19.56,2
Najdi / Saudi,You Tube,https://youtu.be/OoF97orfsww?si=94aIgZPVjDRwzhU6,                 01.14.04,2
Najdi / Saudi,You Tube,https://youtu.be/KxufDrTnTfw?si=I7iVZ0MO8MVeclpE,                 01.10.12,2
Najdi / Saudi,You Tube,https://youtu.be/RUUYCxb-8VE?si=KK3rIRCfeCFcbpmc,                 01.10.51,5
Najdi / Saudi,You Tube,https://youtu.be/FDnHHIM50aI?si=lA6kkiFgZG81ePfT,                 00.58.56,2
Najdi / Saudi,You Tube,https://youtu.be/pJ0auP7dbcY?si=EAIp3M9acRsd29y2,                 03.03.08,2
Najdi / Saudi,You Tube,https://youtu.be/PNtVO7ilABo?si=YLR7JAGtpyiIDyXv,02.12.44,2
Najdi / Saudi,You Tube,https://youtu.be/UuyWk5F5uVg?si=0YB9DIFwUfQvo8tt,02.45.37,2
Najdi / Saudi,You Tube,https://youtu.be/OetssqWJycg?si=6ZphzB_2Zk4C_O9E,02.54.25,2
Najdi / Saudi,You Tube,https://youtu.be/pJ3z_vWxvUU?si=H3VlaodhJYm9VH6K,01.24.52,2
Najdi / Saudi,You Tube,https://youtu.be/T6uyHcA-_M8?si=Eh7J4V6sb9O4Hpoc,01.23.11,2
Najdi / Saudi,You Tube,https://youtu.be/j2wDws36xsU?si=yekXpb-XxeoTASNZ,01.26.32,2
Najdi / Saudi,You Tube,https://youtu.be/qRqdL4OLmsU?si=lf_Yu_dRzS37lbKA,02.27.48,2
Najdi / Saudi,You Tube,https://youtu.be/RC93PFezbFM?si=pXpJ4KICoBu-yNAf,02.10.55,2
Najdi / Saudi,You Tube,https://youtu.be/iwNLerk3c_s?si=vNqN1YK8ECognA0e,02.14.09,2
Najdi / Saudi,You Tube,https://youtu.be/gWXQfuoKuIU?si=Ych5YNZI-QAahLJ_,02.44.57,2
Najdi / Saudi,You Tube,https://youtu.be/bfCCup5bd-c?si=xLZy0KxD_LYhQ02O,02.51.49,2
Najdi / Saudi,You Tube,https://youtu.be/djOwoSwYYxM?si=DQ5CH86xurxSGCD4,01.21.01,2
Najdi / Saudi,You Tube,https://youtu.be/l4bGxrGVhks?si=TMFkD5PHhjvCST2E,01.13.55,2
Najdi / Saudi,You Tube,https://youtu.be/C8A2f0RIIXo?si=w787_g5ICgsUdijR,02.10.52,2
Najdi / Saudi,You Tube,https://youtu.be/RiRBAPwT3Jc?si=wEkrObs5I-56oEcj,01.44.37,2
Najdi / Saudi,You Tube,https://youtu.be/Jwfg4-tVAtw?si=GNPkn2fU1sOzadRN,02.03.19,2
Najdi / Saudi,You Tube,https://youtu.be/t7IrlGQ3aPM?si=ZjU7GFgGe_ltNvJi,02.21.58,2
Najdi / Saudi,You Tube,https://youtu.be/I_8wBIxcqCU?si=3ansNGclfN872TA1,01.13.12,2
